2021-07-25 12:09:58,109 - celery_logging - INFO - {'costo': 6000.0, 'duracion': 5, 'fecha': '07/25/21', 'nombre': 'Internet 300MB', 'fecha_caduca': '07/25/2021, 12:09:58'} was deleted
2021-07-25 12:13:31,393 - celery_logging - INFO - {'costo': 3000.0, 'duracion': 3, 'fecha': '07/25/21', 'nombre': 'Internet 60MB', 'fecha_caduca': '07/25/2021, 12:13:31'} was deleted
2021-07-25 12:21:13,758 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/25/21', 'nombre': 'Llamadas 60 Min', 'fecha_caduca': '07/25/2021, 12:21:13'} was deleted from user 1
2021-07-26 12:01:59,107 - celery_logging - INFO - {'costo': 3000.0, 'duracion': 3, 'fecha': '07/26/21', 'nombre': 'Fast 180MB', 'fecha_caduca': '07/26/2021, 11:54:46'} was deleted from user 1
2021-07-26 20:02:01,164 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/26/21', 'nombre': 'Internet 40MB', 'fecha_caduca': '07/26/2021, 15:30:23'} was deleted from user 1
2021-07-26 20:02:01,182 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/26/21', 'nombre': 'Internet 40MB', 'fecha_caduca': '07/26/2021, 15:30:23'} was deleted from user 1
2021-07-26 20:02:01,197 - celery_logging - INFO - {'costo': 6000.0, 'duracion': 5, 'fecha': '07/26/21', 'nombre': 'Internet 300MB', 'fecha_caduca': '07/26/2021, 15:40:17'} was deleted from user 1
2021-07-26 20:02:01,213 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/26/21', 'nombre': 'Internet 40MB', 'fecha_caduca': '07/26/2021, 15:50:30'} was deleted from user 1
2021-07-26 20:02:01,231 - celery_logging - INFO - {'costo': 6000.0, 'duracion': 5, 'fecha': '07/26/21', 'nombre': 'Internet 300MB', 'fecha_caduca': '07/26/2021, 15:55:39'} was deleted from user 1
2021-07-26 20:02:01,246 - celery_logging - INFO - {'costo': 5000.0, 'duracion': 7, 'fecha': '07/26/21', 'nombre': 'Llamadas 150 Min', 'fecha_caduca': '07/26/2021, 19:59:53'} was deleted from user 1
2021-07-28 03:20:17,493 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/26/21', 'nombre': 'Internet 40MB', 'fecha_caduca': '07/28/2021, 03:20:17'} was deleted from user 1
2021-07-29 20:38:49,751 - celery_logging - INFO - {'costo': 2000.0, 'duracion': 2, 'fecha': '07/27/21', 'nombre': 'Llamadas 60 Min', 'fecha_caduca': '07/29/2021, 20:38:49'} was deleted from user 1
2021-07-31 11:51:35,007 - celery_logging - INFO - {'costo': 6000.0, 'duracion': 5, 'fecha': '07/26/21', 'nombre': 'Internet 300MB', 'fecha_caduca': '07/31/2021, 11:51:34'} was deleted from user 1
2021-07-31 22:53:08,725 - celery_logging - INFO - {'costo': 30000.0, 'duracion': 5, 'fecha': '07/26/21', 'nombre': 'Fast 2.5GB', 'fecha_caduca': '07/31/2021, 22:53:08'} was deleted from user 1
2021-08-04 13:06:32,586 - celery_logging - INFO - {'costo': 3000.0, 'duracion': 3, 'fecha': '08/01/21', 'nombre': 'Internet 60MB', 'fecha_caduca': '08/04/2021, 13:06:32'} was deleted from user 1
2021-08-04 22:57:37,900 - celery_logging - INFO - {'costo': 3000.0, 'duracion': 3, 'fecha': '08/01/21', 'nombre': 'Internet 60MB', 'fecha_caduca': '08/04/2021, 22:57:37'} was deleted from user 5
2021-08-06 13:06:35,673 - celery_logging - INFO - {'costo': 6000.0, 'duracion': 5, 'fecha': '08/01/21', 'nombre': 'Internet 300MB', 'fecha_caduca': '08/06/2021, 13:06:35'} was deleted from user 1
